CR_110_Contig_6	1280	Staphylococcus aureus	Staphylococcus aureus	99.969	0.0
CR_110_Contig_7	1280	Staphylococcus aureus	Staphylococcus aureus	99.983	0.0
CR_110_Contig_8	282458	Staphylococcus aureus subsp. aureus MRSA252	Staphylococcus aureus subsp. aureus MRSA252	99.984	0.0
CR_110_Contig_9	282458	Staphylococcus aureus subsp. aureus MRSA252	Staphylococcus aureus subsp. aureus MRSA252	99.988	0.0
CR_110_Contig_10	1280	Staphylococcus aureus	Staphylococcus aureus	99.991	0.0
CR_110_Contig_11	1280	Staphylococcus aureus	Staphylococcus aureus	99.950	0.0
CR_110_Contig_12	1280	Staphylococcus aureus	Staphylococcus aureus	99.719	0.0
CR_110_Contig_13	1280	Staphylococcus aureus	Staphylococcus aureus	100.000	0.0
CR_110_Contig_14	1280	Staphylococcus aureus	Staphylococcus aureus	99.970	0.0
CR_111_Contig_0	44275	Leptospira interrogans serovar Copenhageni	Leptospira interrogans serovar Copenhageni	99.997	0.0
CR_111_Contig_1	44275	Leptospira interrogans serovar Copenhageni	Leptospira interrogans serovar Copenhageni	99.996	0.0
CR_112_Contig_0	1400867	Acinetobacter baumannii ZW85-1	Acinetobacter baumannii ZW85-1	97.352	0.0
CR_112_Contig_1	470	Acinetobacter baumannii	Acinetobacter baumannii	98.267	0.0
CR_112_Contig_2	470	Acinetobacter baumannii	Acinetobacter baumannii	98.764	0.0
CR_113_Contig_0	57975	Burkholderia thailandensis	Burkholderia thailandensis	99.998	0.0
CR_113_Contig_1	57975	Burkholderia thailandensis	Burkholderia thailandensis	99.998	0.0
CR_114_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	99.999	0.0
CR_114_Contig_1	1280	Staphylococcus aureus	Staphylococcus aureus	99.641	0.0
CR_114_Contig_2	1280	Staphylococcus aureus	Staphylococcus aureus	100.000	0.0
CR_114_Contig_3	1280	Staphylococcus aureus	Staphylococcus aureus	96.897	0.0
CR_114_Contig_4	1280	Staphylococcus aureus	Staphylococcus aureus	100.000	0.0
CR_114_Contig_5	1280	Staphylococcus aureus	Staphylococcus aureus	99.712	0.0
CR_114_Contig_6	1280	Staphylococcus aureus	Staphylococcus aureus	99.910	0.0
CR_114_Contig_7	1280	Staphylococcus aureus	Staphylococcus aureus	99.855	0.0
CR_115_Contig_0	1392	Bacillus anthracis	Bacillus anthracis	99.991	0.0
CR_115_Contig_1	1392	Bacillus anthracis	Bacillus anthracis	99.992	0.0
CR_116_Contig_0	1639	Listeria monocytogenes	Listeria monocytogenes	99.999	0.0
CR_117_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	99.938	0.0
CR_117_Contig_1	1280	Staphylococcus aureus	Staphylococcus aureus	98.789	0.0
CR_117_Contig_2	889933	Staphylococcus aureus subsp. aureus ECT-R 2	Staphylococcus aureus subsp. aureus ECT-R 2	99.951	0.0
CR_117_Contig_3	1280	Staphylococcus aureus	Staphylococcus aureus	99.990	0.0
CR_117_Contig_4	1280	Staphylococcus aureus	Staphylococcus aureus	99.393	0.0
CR_117_Contig_5	1280	Staphylococcus aureus	Staphylococcus aureus	99.982	0.0
CR_117_Contig_6	546342	Staphylococcus aureus subsp. aureus str. JKD6008	Staphylococcus aureus subsp. aureus str. JKD6008	99.136	0.0
CR_117_Contig_7	1280	Staphylococcus aureus	Staphylococcus aureus	99.979	0.0
CR_117_Contig_8	1280	Staphylococcus aureus	Staphylococcus aureus	99.916	0.0
CR_117_Contig_9	1280	Staphylococcus aureus	Staphylococcus aureus	99.654	0.0
CR_118_Contig_0	1304	Streptococcus salivarius	Streptococcus salivarius	99.996	0.0
CR_119_Contig_0	13373	Burkholderia mallei	Burkholderia mallei	99.994	0.0
CR_119_Contig_1	13373	Burkholderia mallei	Burkholderia mallei	99.991	0.0
CR_119_Contig_2	13373	Burkholderia mallei	Burkholderia mallei	99.736	0.0
CR_11_Contig_0	29484	Yersinia frederiksenii	Yersinia frederiksenii	99.997	0.0
CR_120_Contig_0	29385	Staphylococcus saprophyticus	Staphylococcus saprophyticus	100.000	0.0
CR_120_Contig_1	29385	Staphylococcus saprophyticus	Staphylococcus saprophyticus	100.000	0.0
CR_120_Contig_2	29385	Staphylococcus saprophyticus	Staphylococcus saprophyticus	100.000	0.0
CR_121_Contig_0	67827	Citrobacter werkmanii	Citrobacter werkmanii	100.000	0.0
CR_122_Contig_0	562	Escherichia coli	Escherichia coli	99.993	0.0
CR_122_Contig_1	562	Escherichia coli	Escherichia coli	99.977	0.0
CR_122_Contig_2	562	Escherichia coli	Escherichia coli	99.999	0.0
CR_122_Contig_3	562	Escherichia coli	Escherichia coli	100.000	0.0
CR_123_Contig_0	60552	Burkholderia vietnamiensis	Burkholderia vietnamiensis	99.995	0.0
CR_123_Contig_1	60552	Burkholderia vietnamiensis	Burkholderia vietnamiensis	99.989	0.0
CR_123_Contig_2	60552	Burkholderia vietnamiensis	Burkholderia vietnamiensis	99.995	0.0
CR_123_Contig_3	60552	Burkholderia vietnamiensis	Burkholderia vietnamiensis	99.994	0.0
CR_124_Contig_0	64320	Zika virus	Zika virus	99.942	0.0
CR_124_Contig_1	64320	Zika virus	Zika virus	100.000	0.0
CR_124_Contig_2	64320	Zika virus	Zika virus	100.000	0.0
CR_125_Contig_0	64320	Zika virus	Zika virus	99.981	0.0
CR_126_Contig_0	1408284	Clostridium botulinum Prevot_594	Clostridium botulinum Prevot_594	99.409	0.0
CR_126_Contig_1	1509	Clostridium sporogenes	Clostridium sporogenes	99.871	0.0
CR_126_Contig_2	1408284	Clostridium botulinum Prevot_594	Clostridium botulinum Prevot_594	99.430	0.0
CR_126_Contig_3	1509	Clostridium sporogenes	Clostridium sporogenes	99.745	0.0
CR_126_Contig_4	1509	Clostridium sporogenes	Clostridium sporogenes	98.725	0.0
CR_126_Contig_5	1509	Clostridium sporogenes	Clostridium sporogenes	96.913	0.0
CR_126_Contig_6	1408284	Clostridium botulinum Prevot_594	Clostridium botulinum Prevot_594	99.772	0.0
CR_127_Contig_0	748678	Yersinia pestis str. Pestoides B	Yersinia pestis str. Pestoides B	99.995	0.0
CR_127_Contig_1	748678	Yersinia pestis str. Pestoides B	Yersinia pestis str. Pestoides B	99.990	0.0
CR_127_Contig_2	748678	Yersinia pestis str. Pestoides B	Yersinia pestis str. Pestoides B	99.995	0.0
CR_128_Contig_0	435591	Parabacteroides distasonis ATCC 8503	Parabacteroides distasonis ATCC 8503	99.986	0.0
CR_128_Contig_1	435591	Parabacteroides distasonis ATCC 8503	Parabacteroides distasonis ATCC 8503	99.819	0.0
CR_128_Contig_2	435591	Parabacteroides distasonis ATCC 8503	Parabacteroides distasonis ATCC 8503	99.754	0.0
CR_128_Contig_3	435591	Parabacteroides distasonis ATCC 8503	Parabacteroides distasonis ATCC 8503	99.779	0.0
CR_128_Contig_4	435591	Parabacteroides distasonis ATCC 8503	Parabacteroides distasonis ATCC 8503	99.663	0.0
CR_128_Contig_5	435591	Parabacteroides distasonis ATCC 8503	Parabacteroides distasonis ATCC 8503	97.742	0.0
CR_128_Contig_6	435591	Parabacteroides distasonis ATCC 8503	Parabacteroides distasonis ATCC 8503	99.793	0.0
CR_129_Contig_0	46170	Staphylococcus aureus subsp. aureus	Staphylococcus aureus subsp. aureus	99.985	0.0
CR_129_Contig_1	1282	Staphylococcus epidermidis	Staphylococcus epidermidis	99.818	0.0
CR_129_Contig_2	46170	Staphylococcus aureus subsp. aureus	Staphylococcus aureus subsp. aureus	99.955	0.0
CR_12_Contig_0	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.771	0.0
CR_12_Contig_1	2077147	Citrobacter freundii complex sp. CFNIH3	Citrobacter freundii complex sp. CFNIH3	99.950	0.0
CR_12_Contig_2	573	Klebsiella pneumoniae	Klebsiella pneumoniae	88.462	0.0
CR_12_Contig_3	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.986	0.0
CR_12_Contig_4	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.429	0.0
CR_130_Contig_0	1367494	Pseudomonas aeruginosa PAO1-VE13	Pseudomonas aeruginosa PAO1-VE13	99.596	0.0
CR_130_Contig_1	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	99.828	0.0
CR_130_Contig_2	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	99.810	0.0
CR_130_Contig_3	1352355	Pseudomonas aeruginosa c7447m	Pseudomonas aeruginosa c7447m	97.409	0.0
CR_130_Contig_4	1408272	Pseudomonas aeruginosa LES431	Pseudomonas aeruginosa LES431	98.467	0.0
CR_131_Contig_0	214092	Yersinia pestis CO92	Yersinia pestis CO92	99.992	0.0
CR_131_Contig_1	360102	Yersinia pestis Antiqua	Yersinia pestis Antiqua	99.990	0.0
CR_131_Contig_2	632	Yersinia pestis	Yersinia pestis	99.996	0.0
CR_131_Contig_3	214092	Yersinia pestis CO92	Yersinia pestis CO92	99.983	0.0
CR_132_Contig_0	186539	Reston ebolavirus	Reston ebolavirus	99.952	0.0
CR_133_Contig_0	37124	Chikungunya virus	Chikungunya virus	99.941	0.0
CR_134_Contig_0	216591	Burkholderia cenocepacia J2315	Burkholderia cenocepacia J2315	99.999	0.0
CR_134_Contig_1	216591	Burkholderia cenocepacia J2315	Burkholderia cenocepacia J2315	99.996	0.0
CR_134_Contig_2	216591	Burkholderia cenocepacia J2315	Burkholderia cenocepacia J2315	99.998	0.0
CR_134_Contig_3	216591	Burkholderia cenocepacia J2315	Burkholderia cenocepacia J2315	99.583	0.0
CR_134_Contig_4	216591	Burkholderia cenocepacia J2315	Burkholderia cenocepacia J2315	99.861	0.0
CR_134_Contig_5	216591	Burkholderia cenocepacia J2315	Burkholderia cenocepacia J2315	99.592	0.0
CR_134_Contig_6	216591	Burkholderia cenocepacia J2315	Burkholderia cenocepacia J2315	99.887	0.0
CR_134_Contig_7	216591	Burkholderia cenocepacia J2315	Burkholderia cenocepacia J2315	99.978	0.0
CR_134_Contig_8	216591	Burkholderia cenocepacia J2315	Burkholderia cenocepacia J2315	99.997	0.0
CR_135_Contig_0	57975	Burkholderia thailandensis	Burkholderia thailandensis	99.996	0.0
CR_135_Contig_1	57975	Burkholderia thailandensis	Burkholderia thailandensis	99.996	0.0
CR_136_Contig_0	480	Moraxella catarrhalis	Moraxella catarrhalis	99.996	0.0
CR_137_Contig_0	1496	Clostridioides difficile	Clostridioides difficile	96.380	0.0
CR_137_Contig_1	1496	Clostridioides difficile	Clostridioides difficile	99.914	0.0
CR_137_Contig_2	1496	Clostridioides difficile	Clostridioides difficile	99.880	0.0
CR_138_Contig_0	57975	Burkholderia thailandensis	Burkholderia thailandensis	99.946	0.0
CR_138_Contig_1	57975	Burkholderia thailandensis	Burkholderia thailandensis	99.940	0.0
CR_139_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	99.983	0.0
CR_139_Contig_1	1280	Staphylococcus aureus	Staphylococcus aureus	99.973	0.0
CR_139_Contig_2	1381115	Staphylococcus aureus subsp. aureus Tager 104	Staphylococcus aureus subsp. aureus Tager 104	99.517	0.0
CR_139_Contig_3	1351	Enterococcus faecalis	Enterococcus faecalis	98.886	0.0
CR_139_Contig_4	1351	Enterococcus faecalis	Enterococcus faecalis	100.000	0.0
CR_139_Contig_5	1280	Staphylococcus aureus	Staphylococcus aureus	99.866	0.0
CR_139_Contig_6	1280	Staphylococcus aureus	Staphylococcus aureus	99.691	0.0
CR_13_Contig_0	1270	Micrococcus luteus	Micrococcus luteus	98.703	0.0
CR_140_Contig_0	588	Providencia stuartii	Providencia stuartii	100.000	0.0
CR_141_Contig_0	271848	Burkholderia thailandensis E264	Burkholderia thailandensis E264	99.997	0.0
CR_141_Contig_1	1241582	Burkholderia thailandensis 2002721723	Burkholderia thailandensis 2002721723	99.996	0.0
CR_141_Contig_2	1249660	Burkholderia thailandensis 2002721643	Burkholderia thailandensis 2002721643	99.827	0.0
CR_142_Contig_0	624	Shigella sonnei	Shigella sonnei	99.993	0.0
CR_142_Contig_1	624	Shigella sonnei	Shigella sonnei	99.996	0.0
CR_142_Contig_2	300268	Shigella boydii Sb227	Shigella boydii Sb227	93.100	0.0
CR_143_Contig_0	292	Burkholderia cepacia	Burkholderia cepacia	99.994	0.0
CR_143_Contig_1	292	Burkholderia cepacia	Burkholderia cepacia	99.993	0.0
CR_143_Contig_2	292	Burkholderia cepacia	Burkholderia cepacia	99.991	0.0
CR_143_Contig_3	292	Burkholderia cepacia	Burkholderia cepacia	99.994	0.0
CR_143_Contig_4	983594	Burkholderia cepacia ATCC 25416	Burkholderia cepacia ATCC 25416	99.749	0.0
CR_144_Contig_0	186538	Zaire ebolavirus	Zaire ebolavirus	100.000	0.0
CR_145_Contig_0	210	Helicobacter pylori	Helicobacter pylori	99.992	0.0
CR_145_Contig_1	102618	Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504	Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504	99.812	0.0
CR_146_Contig_0	82985	Pragia fontium	Pragia fontium	88.475	0.0
CR_147_Contig_0	584	Proteus mirabilis	Proteus mirabilis	99.989	0.0
CR_147_Contig_1	588	Providencia stuartii	Providencia stuartii	99.754	0.0
CR_148_Contig_0	1351	Enterococcus faecalis	Enterococcus faecalis	99.985	0.0
CR_149_Contig_0	43674	Jonesia denitrificans	Jonesia denitrificans	99.996	0.0
CR_14_Contig_0	1467	Bacillus lentus	Bacillus lentus	80.507	0.0
CR_14_Contig_1	1367477	Bacillus infantis NRRL B-14911	Bacillus infantis NRRL B-14911	86.099	1.89e-55
CR_14_Contig_2	1638	Listeria ivanovii	Listeria ivanovii	78.762	0.0
CR_14_Contig_3	1196031	Bacillus oceanisediminis 2691	Bacillus oceanisediminis 2691	84.091	0.0
CR_150_Contig_0	50719	Vibrio diabolicus	Vibrio diabolicus	99.999	0.0
CR_150_Contig_1	50719	Vibrio diabolicus	Vibrio diabolicus	99.999	0.0
CR_151_Contig_0	122586	Neisseria meningitidis MC58	Neisseria meningitidis MC58	99.993	0.0
CR_152_Contig_0	170573	Staphylococcus pettenkoferi	Staphylococcus pettenkoferi	99.999	0.0
CR_153_Contig_0	85962	Helicobacter pylori 26695	Helicobacter pylori 26695	99.919	0.0
CR_153_Contig_1	210	Helicobacter pylori	Helicobacter pylori	99.749	0.0
CR_153_Contig_2	210	Helicobacter pylori	Helicobacter pylori	98.079	0.0
CR_154_Contig_0	51665	Aerococcus urinaeequi	Aerococcus urinaeequi	94.756	0.0
CR_155_Contig_0	1448140	Pseudomonas aeruginosa YL84	Pseudomonas aeruginosa YL84	97.886	0.0
CR_155_Contig_1	208963	Pseudomonas aeruginosa UCBPP-PA14	Pseudomonas aeruginosa UCBPP-PA14	98.809	0.0
CR_155_Contig_2	1089456	Pseudomonas aeruginosa NCGM2.S1	Pseudomonas aeruginosa NCGM2.S1	99.328	0.0
CR_156_Contig_0	446	Legionella pneumophila	Legionella pneumophila	99.994	0.0
CR_156_Contig_1	446	Legionella pneumophila	Legionella pneumophila	99.841	0.0
CR_156_Contig_2	446	Legionella pneumophila	Legionella pneumophila	99.815	0.0
CR_157_Contig_0	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	99.455	0.0
CR_157_Contig_1	47885	Pseudomonas oryzihabitans	Pseudomonas oryzihabitans	94.331	0.0
CR_157_Contig_2	47885	Pseudomonas oryzihabitans	Pseudomonas oryzihabitans	90.582	0.0
CR_157_Contig_3	47885	Pseudomonas oryzihabitans	Pseudomonas oryzihabitans	89.249	0.0
CR_157_Contig_4	47885	Pseudomonas oryzihabitans	Pseudomonas oryzihabitans	91.964	0.0
CR_157_Contig_5	47885	Pseudomonas oryzihabitans	Pseudomonas oryzihabitans	91.734	0.0
CR_158_Contig_0	35703	Citrobacter amalonaticus	Citrobacter amalonaticus	99.997	0.0
CR_158_Contig_1	35703	Citrobacter amalonaticus	Citrobacter amalonaticus	99.983	0.0
CR_159_Contig_0	585	Proteus vulgaris	Proteus vulgaris	100.000	0.0
CR_15_Contig_0	2083199	Mosso das Pedras virus	Mosso das Pedras virus	99.949	0.0
CR_15_Contig_1	2083199	Mosso das Pedras virus	Mosso das Pedras virus	99.829	0.0
CR_160_Contig_0	470934	Pantoea vagans	Pantoea vagans	95.461	0.0
CR_160_Contig_1	470934	Pantoea vagans	Pantoea vagans	95.079	0.0
CR_160_Contig_2	712898	Pantoea vagans C9-1	Pantoea vagans C9-1	86.092	0.0
CR_160_Contig_3	712898	Pantoea vagans C9-1	Pantoea vagans C9-1	97.103	0.0
CR_160_Contig_4	712898	Pantoea vagans C9-1	Pantoea vagans C9-1	95.725	0.0
CR_161_Contig_0	648	Aeromonas caviae	Aeromonas caviae	99.982	0.0
CR_163_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	99.999	0.0
CR_163_Contig_1	1280	Staphylococcus aureus	Staphylococcus aureus	99.989	0.0
CR_164_Contig_0	29385	Staphylococcus saprophyticus	Staphylococcus saprophyticus	99.971	0.0
CR_164_Contig_1	29385	Staphylococcus saprophyticus	Staphylococcus saprophyticus	99.992	0.0
CR_164_Contig_2	29385	Staphylococcus saprophyticus	Staphylococcus saprophyticus	99.992	0.0
CR_165_Contig_0	548479	Mobiluncus curtisii ATCC 43063	Mobiluncus curtisii ATCC 43063	96.821	0.0
CR_165_Contig_1	548479	Mobiluncus curtisii ATCC 43063	Mobiluncus curtisii ATCC 43063	93.053	0.0
CR_165_Contig_2	556288	Brachybacterium saurashtrense	Brachybacterium saurashtrense	76.275	4.79e-64
CR_165_Contig_3	548479	Mobiluncus curtisii ATCC 43063	Mobiluncus curtisii ATCC 43063	98.325	0.0
CR_165_Contig_4	548479	Mobiluncus curtisii ATCC 43063	Mobiluncus curtisii ATCC 43063	93.158	0.0
CR_166_Contig_0	186538	Zaire ebolavirus	Zaire ebolavirus	100.000	0.0
CR_167_Contig_0	767029	Pseudopropionibacterium propionicum F0230a	Pseudopropionibacterium propionicum F0230a	99.994	0.0
CR_168_Contig_0	1496	Clostridioides difficile	Clostridioides difficile	99.977	0.0
CR_168_Contig_1	1496	Clostridioides difficile	Clostridioides difficile	99.982	0.0
CR_168_Contig_2	1496	Clostridioides difficile	Clostridioides difficile	99.983	0.0
CR_169_Contig_0	1352	Enterococcus faecium	Enterococcus faecium	99.959	0.0
CR_169_Contig_1	1352	Enterococcus faecium	Enterococcus faecium	99.987	0.0
CR_169_Contig_2	1352	Enterococcus faecium	Enterococcus faecium	99.997	0.0
CR_169_Contig_3	1352	Enterococcus faecium	Enterococcus faecium	98.361	0.0
CR_169_Contig_4	1352	Enterococcus faecium	Enterococcus faecium	99.698	0.0
CR_169_Contig_5	333849	Enterococcus faecium DO	Enterococcus faecium DO	99.090	0.0
CR_169_Contig_6	1352	Enterococcus faecium	Enterococcus faecium	99.791	0.0
CR_169_Contig_7	1352	Enterococcus faecium	Enterococcus faecium	99.964	0.0
CR_16_Contig_0	1280	Staphylococcus aureus	Staphylococcus aureus	99.999	0.0
CR_16_Contig_1	53369	Staphylococcus virus 80alpha	Staphylococcus virus 80alpha	99.910	0.0
CR_16_Contig_2	93061	Staphylococcus aureus subsp. aureus NCTC 8325	Staphylococcus aureus subsp. aureus NCTC 8325	99.934	0.0
CR_170_Contig_0	666	Vibrio cholerae	Vibrio cholerae	99.996	0.0
CR_170_Contig_1	666	Vibrio cholerae	Vibrio cholerae	99.997	0.0
CR_171_Contig_0	38323	Bartonella henselae	Bartonella henselae	99.997	0.0
CR_171_Contig_1	38323	Bartonella henselae	Bartonella henselae	99.515	0.0
CR_172_Contig_0	1839800	Yersinia sp. FDAARGOS_228	Yersinia sp. FDAARGOS_228	99.996	0.0
CR_173_Contig_0	38289	Corynebacterium jeikeium	Corynebacterium jeikeium	99.996	0.0
CR_174_Contig_0	36855	Brucella canis	Brucella canis	99.998	0.0
CR_174_Contig_1	36855	Brucella canis	Brucella canis	99.998	0.0
CR_175_Contig_0	273123	Yersinia pseudotuberculosis IP 32953	Yersinia pseudotuberculosis IP 32953	99.828	0.0
CR_175_Contig_1	633	Yersinia pseudotuberculosis	Yersinia pseudotuberculosis	99.544	0.0
CR_176_Contig_0	271848	Burkholderia thailandensis E264	Burkholderia thailandensis E264	99.995	0.0
CR_176_Contig_1	1249660	Burkholderia thailandensis 2002721643	Burkholderia thailandensis 2002721643	99.999	0.0
CR_176_Contig_2	1249660	Burkholderia thailandensis 2002721643	Burkholderia thailandensis 2002721643	99.919	0.0
CR_177_Contig_0	95486	Burkholderia cenocepacia	Burkholderia cenocepacia	99.977	0.0
CR_177_Contig_1	95486	Burkholderia cenocepacia	Burkholderia cenocepacia	99.940	0.0
CR_177_Contig_2	95486	Burkholderia cenocepacia	Burkholderia cenocepacia	99.977	0.0
CR_177_Contig_3	95486	Burkholderia cenocepacia	Burkholderia cenocepacia	99.160	0.0
CR_177_Contig_4	95486	Burkholderia cenocepacia	Burkholderia cenocepacia	99.069	0.0
CR_177_Contig_5	1839799	Streptococcus sp. FDAARGOS_192	Streptococcus sp. FDAARGOS_192	99.333	0.0
CR_178_Contig_0	747	Pasteurella multocida	Pasteurella multocida	100.000	0.0
CR_178_Contig_1	747	Pasteurella multocida	Pasteurella multocida	99.999	0.0
CR_179_Contig_0	37124	Chikungunya virus	Chikungunya virus	99.983	0.0
CR_17_Contig_0	85698	Achromobacter xylosoxidans	Achromobacter xylosoxidans	99.991	0.0
CR_17_Contig_1	85698	Achromobacter xylosoxidans	Achromobacter xylosoxidans	99.992	0.0
CR_180_Contig_0	663	Vibrio alginolyticus	Vibrio alginolyticus	100.000	0.0
CR_180_Contig_1	1219076	Vibrio alginolyticus NBRC 15630 = ATCC 17749	Vibrio alginolyticus NBRC 15630 = ATCC 17749	99.989	0.0
CR_181_Contig_0	1261127	Citrobacter amalonaticus Y19	Citrobacter amalonaticus Y19	99.529	0.0
CR_181_Contig_1	546367	Hafnia paralvei	Hafnia paralvei	98.805	0.0
CR_181_Contig_2	546367	Hafnia paralvei	Hafnia paralvei	98.755	0.0
CR_181_Contig_3	546367	Hafnia paralvei	Hafnia paralvei	99.480	0.0
CR_181_Contig_4	546367	Hafnia paralvei	Hafnia paralvei	98.903	0.0
CR_181_Contig_5	657337	Rahnella sp. WMR66	Rahnella sp. WMR66	79.229	0.0
CR_181_Contig_6	569	Hafnia alvei	Hafnia alvei	100.000	0.0
CR_182_Contig_0	339670	Burkholderia ambifaria AMMD	Burkholderia ambifaria AMMD	99.995	0.0
CR_182_Contig_1	339670	Burkholderia ambifaria AMMD	Burkholderia ambifaria AMMD	99.994	0.0
CR_182_Contig_2	1842727	Rhodoferax koreense	Rhodoferax koreense	99.982	0.0
CR_182_Contig_3	339670	Burkholderia ambifaria AMMD	Burkholderia ambifaria AMMD	99.993	0.0
CR_183_Contig_0	615	Serratia marcescens	Serratia marcescens	96.432	0.0
CR_183_Contig_1	573	Klebsiella pneumoniae	Klebsiella pneumoniae	99.813	0.0
CR_183_Contig_2	548	Klebsiella aerogenes	Klebsiella aerogenes	97.378	0.0
CR_183_Contig_3	545	Citrobacter koseri	Citrobacter koseri	99.980	0.0
CR_183_Contig_4	545	Citrobacter koseri	Citrobacter koseri	99.620	0.0
CR_183_Contig_5	1420013	Klebsiella pneumoniae 30684/NJST258_2	Klebsiella pneumoniae 30684/NJST258_2	98.797	0.0
CR_183_Contig_6	615	Serratia marcescens	Serratia marcescens	96.103	0.0
CR_183_Contig_7	615	Serratia marcescens	Serratia marcescens	94.964	0.0
CR_183_Contig_8	562	Escherichia coli	Escherichia coli	96.431	0.0
CR_183_Contig_9	545	Citrobacter koseri	Citrobacter koseri	99.100	0.0
CR_183_Contig_10	545	Citrobacter koseri	Citrobacter koseri	99.984	0.0
CR_183_Contig_11	573	Klebsiella pneumoniae	Klebsiella pneumoniae	94.750	0.0
CR_183_Contig_12	615	Serratia marcescens	Serratia marcescens	94.756	0.0
CR_184_Contig_0	1352	Enterococcus faecium	Enterococcus faecium	99.993	0.0
CR_184_Contig_1	1352	Enterococcus faecium	Enterococcus faecium	99.853	0.0
CR_185_Contig_0	663	Vibrio alginolyticus	Vibrio alginolyticus	100.000	0.0
CR_185_Contig_1	663	Vibrio alginolyticus	Vibrio alginolyticus	100.000	0.0
CR_186_Contig_0	1440170	Madariaga virus	Madariaga virus	99.965	0.0
CR_187_Contig_0	1338	Streptococcus intermedius	Streptococcus intermedius	99.994	0.0
